id,ชุด,ชนิด,type,correct,เลขที่ต้องมี,เลขที่พบ,ร้อยละ,ธง,ตัวอย่างเลขที่หาย,given 120 ตัวอักษร
alvl1-2567-03-q07,alvl1-2567-03,รูป,mc,1,4,0,0%,🔴 ไม่เคยเห็น,34 8390 92 6090,
alvl1-2567-03-q23,alvl1-2567-03,รูป,mc,1,3,0,0%,🔴 ไม่เคยเห็น,32 1565 11,
alvl1-2567-03-q30,alvl1-2567-03,ตาราง,fill,11.25,10,4,40%,🟠 น่าสงสัย,0.57 0.87 1.70 0.7157 0.8078 0.9554,
alvl1-2569-03-q19,alvl1-2569-03,ตาราง,mc,1,8,5,62%,🟢 น่าจะเห็น,0.5000 1.5 0.9332,
chap-07-trigonometry-q67,chap-07-trigonometry,รูป,mc,2,3,0,0%,🔴 ไม่เคยเห็น,1.5707963267948966 3.141592653589793 4.71238898038469,
chap-07-trigonometry-q71,chap-07-trigonometry,รูป,mc,3,8,0,0%,🔴 ไม่เคยเห็น,50 198 165.4 164.9 211.0 92.0,
chap-07-trigonometry-q75,chap-07-trigonometry,รูป,mc,0,7,0,0%,🔴 ไม่เคยเห็น,1.5707963267948966 150 118 88 3.141592653589793 55,
pat1-2552-07-q41,pat1-2552-07,ตาราง,mc,2,15,15,100%,🟢 น่าจะเห็น,,
pat1-2552-07-q42,pat1-2552-07,ตาราง,mc,1,6,6,100%,🟢 น่าจะเห็น,,
pat1-2553-03-q50,pat1-2553-03,ตาราง,fill,2,8,1,12%,🟠 น่าสงสัย,17 10 16 15 12 14,
pat1-2553-07-q25,pat1-2553-07,ตาราง,mc,1,5,5,100%,🟢 น่าจะเห็น,,
pat1-2553-07-q47,pat1-2553-07,ตาราง,fill,9,1,1,100%,🟢 น่าจะเห็น,,
pat1-2553-07-q50,pat1-2553-07,ตาราง,fill,2,13,5,38%,🟠 น่าสงสัย,26 29 32 47 44 41,
pat1-2553-10-q21,pat1-2553-10,ตาราง,mc,1,10,10,100%,🟢 น่าจะเห็น,,
pat1-2553-10-q50,pat1-2553-10,ตาราง,fill,4,1,1,100%,🟢 น่าจะเห็น,,
pat1-2554-03-q10,pat1-2554-03,รูป,mc,3,5,0,0%,🔴 ไม่เคยเห็น,888 60 3.08 32 36,$A$ คือเซตคำตอบของอสมการ $2(\log_3x-1)^{\frac{1}{2}}+\log_{\frac13}x^3+4>0$
pat1-2554-03-q24,pat1-2554-03,ตาราง,mc,0,6,3,50%,🟢 น่าจะเห็น,0.392 0.410 0.425,
pat1-2554-03-q25,pat1-2554-03,ตาราง,mc,3,5,1,20%,🟠 น่าสงสัย,0.410 0.425 0.438 0.467,
pat1-2554-03-q47,pat1-2554-03,ตาราง,fill,48.8,7,7,100%,🟢 น่าจะเห็น,,
pat1-2554-12-q14,pat1-2554-12,รูป,mc,1,2,1,50%,🟢 น่าจะเห็น,999,
pat1-2554-12-q21,pat1-2554-12,ตาราง,mc,1,10,10,100%,🟢 น่าจะเห็น,,
pat1-2555-03-q09,pat1-2555-03,รูป,mc,1,3,1,33%,🟠 น่าสงสัย,11 38,
pat1-2555-10-q48,pat1-2555-10,ตาราง,fill,28,9,9,100%,🟢 น่าจะเห็น,,
