id,ชุด,ชนิด,type,correct,เลขที่ต้องมี,เลขที่พบในเฉลย,ร้อยละในเฉลย,ร้อยละในโจทย์,ธง,ตัวอย่างเลขที่หาย,given 120 ตัวอักษร
alvl1-2566-03-q02,alvl1-2566-03,รูป,mc,3,6,3,50%,0%,🟢 น่าจะเห็น,76 32 11,
alvl1-2566-03-q06,alvl1-2566-03,รูป,mc,1,10,6,60%,40%,🟢 น่าจะเห็น,240 251 163.6 84.1,
alvl1-2566-03-q07,alvl1-2566-03,รูป,mc,0,11,4,36%,9%,🟠 น่าสงสัย,170 100 38 46 150 149,
alvl1-2566-03-q11,alvl1-2566-03,รูป,mc,2,2,2,100%,100%,🔵 โจทย์มีเลขครบ,,
alvl1-2566-03-q14,alvl1-2566-03,รูป,mc,4,6,0,0%,0%,🔴 ไม่เคยเห็น,-1.5 1.5 180 360 -0.35 -1.3,
alvl1-2566-03-q16,alvl1-2566-03,รูป,mc,2,14,0,0%,0%,🔴 ไม่เคยเห็น,192 250 152 276 224 264,
alvl1-2566-03-q17,alvl1-2566-03,รูป,mc,1,25,6,24%,0%,🟠 น่าสงสัย,-1.73205 1.73205 60 36 1565 11,
alvl1-2566-03-q21,alvl1-2566-03,รูป,mc,1,15,5,33%,20%,🟠 น่าสงสัย,30 90 80 44 67 76,
alvl1-2566-03-q23,alvl1-2566-03,รูป,mc,0,13,4,30%,0%,🟠 น่าสงสัย,-0.8 4.8 1565 3.5 5.1 -1.1,
alvl1-2566-03-q24,alvl1-2566-03,รูป,mc,4,8,2,25%,12%,🟠 น่าสงสัย,-3.3 5.3 -3 2.7 2.8 1.7,
alvl1-2566-03-q26,alvl1-2566-03,รูป,fill,65,3,3,100%,33%,🟢 น่าจะเห็น,,
alvl1-2566-03-q27,alvl1-2566-03,รูป,fill,480,11,4,36%,0%,🟠 น่าสงสัย,340 210 90 150 140 190,
alvl1-2566-03-q28,alvl1-2566-03,รูป,fill,8.96,4,0,0%,0%,🔴 ไม่เคยเห็น,-3.2 3.2 -0.7 0.7,
alvl1-2566-03-q29,alvl1-2566-03,รูป,fill,0.75,20,6,30%,5%,🟠 น่าสงสัย,-0.8 3.2 3.3 360 222 -0.4,
alvl1-2567-03-q03,alvl1-2567-03,รูป,mc,0,19,8,42%,0%,🟠 น่าสงสัย,-1.4 1.4 999 0.866 11 -6,
alvl1-2567-03-q06,alvl1-2567-03,รูป,mc,0,1,1,100%,100%,🔵 โจทย์มีเลขครบ,,
alvl1-2567-03-q07,alvl1-2567-03,รูป,mc,1,3,0,0%,0%,🔴 ไม่เคยเห็น,60 8390 6090,
alvl1-2567-03-q11,alvl1-2567-03,รูป,mc,2,27,10,37%,14%,🟠 น่าสงสัย,-1.5 5.5 -20 -5 -8 73,
alvl1-2567-03-q19,alvl1-2567-03,รูป,mc,4,16,3,18%,6%,🟠 น่าสงสัย,-3.4 7.4 0.03125 0.1875 -3 -0.6,
alvl1-2567-03-q20,alvl1-2567-03,รูป,mc,1,12,4,33%,0%,🟠 น่าสงสัย,13 -1.2 1.2 73 -52 -19,
alvl1-2567-03-q23,alvl1-2567-03,รูป,mc,1,5,1,20%,0%,🟠 น่าสงสัย,60 32 1565 11,
alvl1-2567-03-q26,alvl1-2567-03,รูป,fill,68,9,2,22%,0%,🟠 น่าสงสัย,36.8 410 163.2 220 90 334,
alvl1-2567-03-q30,alvl1-2567-03,ตาราง,fill,11.25,24,10,41%,8%,🟠 น่าสงสัย,0.57 0.87 1.70 0.7157 0.8078 0.9554,
alvl1-2568-03-v2-q04,alvl1-2568-03-v2,รูป,mc,3,20,8,40%,10%,🟠 น่าสงสัย,-10 175 -100000 1400000 160 400000,
alvl1-2568-03-v2-q11,alvl1-2568-03-v2,รูป,mc,0,9,4,44%,0%,🟠 น่าสงสัย,0.2679 3.7321 60 1565 0392,
alvl1-2568-03-v2-q13,alvl1-2568-03-v2,รูป,mc,2,8,1,12%,0%,🟠 น่าสงสัย,259 38 97 146 254 148.8,
alvl1-2568-03-v2-q14,alvl1-2568-03-v2,รูป,mc,1,12,1,8%,8%,🟠 น่าสงสัย,-6.5 16.5 -10.5 10.5 8.6603 360,
alvl1-2568-03-v2-q16,alvl1-2568-03-v2,รูป,mc,3,6,1,16%,0%,🟠 น่าสงสัย,70 215 250 235 295,
alvl1-2568-03-v2-q22,alvl1-2568-03-v2,รูป,mc,4,7,3,42%,42%,🟠 น่าสงสัย,-3.5 3.5 2.3 0.35,
alvl1-2568-03-v2-q24,alvl1-2568-03-v2,รูป,mc,0,38,1,2%,2%,🟠 น่าสงสัย,-2.6 5.6 -1.3 5.4 -1 0.007529,
alvl1-2568-03-v2-q25,alvl1-2568-03-v2,รูป,mc,2,19,1,5%,0%,🟠 น่าสงสัย,-0.6 7.9 4.6 0.166667 -1.16667 1.33333,
alvl1-2568-03-v2-q26,alvl1-2568-03-v2,รูป,fill,0.75,6,1,16%,0%,🟠 น่าสงสัย,191.9 36.8 260 220 30,
alvl1-2568-03-v2-q29,alvl1-2568-03-v2,รูป,fill,2,3,3,100%,33%,🟢 น่าจะเห็น,,
alvl1-2569-03-q01,alvl1-2569-03,รูป,mc,0,2,2,100%,50%,🟢 น่าจะเห็น,,
alvl1-2569-03-q04,alvl1-2569-03,รูป,mc,3,25,4,16%,0%,🟠 น่าสงสัย,-2.4 -6.2 6.2 0.125 -0.55 -0.625,
alvl1-2569-03-q05,alvl1-2569-03,รูป,mc,4,16,7,43%,12%,🟠 น่าสงสัย,33 2600 15 1000 2000 73,
alvl1-2569-03-q06,alvl1-2569-03,รูป,mc,4,158,4,2%,0%,🟠 น่าสงสัย,-2.3 4.3 -0.5 4.5 3.1623 -1.94,
alvl1-2569-03-q07,alvl1-2569-03,รูป,mc,0,6,5,83%,0%,🟢 น่าจะเห็น,62,
alvl1-2569-03-q11,alvl1-2569-03,รูป,mc,0,7,3,42%,0%,🟠 น่าสงสัย,24 -6 -10 555,
alvl1-2569-03-q12,alvl1-2569-03,รูป,mc,4,13,2,15%,7%,🟠 น่าสงสัย,-1.4 1.4 -1 999 0.309 0.951,
alvl1-2569-03-q14,alvl1-2569-03,รูป,mc,3,10,5,50%,0%,🟢 น่าจะเห็น,-1.5 1.5 73 -20 30,
