id,setId,type,correct,คำตอบที่คาด,ผลตรวจ,จำนวนชิ้นเฉลย,หมายเหตุ
alvl1-2566-03-q02,alvl1-2566-03,mc,3,ข้อความ (ข) และ (ค) ถูกต้องเท่านั้น,ไม่เจอเลย,19,🔴 คำตอบไม่ปรากฏในเฉลยเลย
alvl1-2566-03-q04,alvl1-2566-03,mc,4,ข้อความ (ข) และ (ค) ถูกต้องเท่านั้น,ไม่เจอเลย,18,🔴 คำตอบไม่ปรากฏในเฉลยเลย
alvl1-2566-03-q08,alvl1-2566-03,mc,0,ข้อความ (ก) ถูกต้องเพียงข้อเดียวเท่านั้น,ไม่เจอเลย,16,🔴 คำตอบไม่ปรากฏในเฉลยเลย
alvl1-2566-03-q14,alvl1-2566-03,mc,4,ข้อความ (ก) (ข) และ (ค) ถูกต้อง,ไม่เจอเลย,26,🔴 คำตอบไม่ปรากฏในเฉลยเลย
alvl1-2566-03-q20,alvl1-2566-03,mc,0,ข้อความ (ก) ถูกต้องเพียงข้อเดียวเท่านั้น,ไม่เจอเลย,17,🔴 คำตอบไม่ปรากฏในเฉลยเลย
alvl1-2566-03-q21,alvl1-2566-03,mc,1,ข้อความ (ข) ถูกต้องเพียงข้อเดียวเท่านั้น,ไม่เจอเลย,25,🔴 คำตอบไม่ปรากฏในเฉลยเลย
alvl1-2566-03-q23,alvl1-2566-03,mc,0,"$f'(x) = h(x)$ และ $\displaystyle\int_0^2 h(x)\,dx = -4\int_2^4 g(x)\,dx$",ไม่เจอเลย,24,🔴 คำตอบไม่ปรากฏในเฉลยเลย
alvl1-2566-03-q24,alvl1-2566-03,mc,4,ข้อความ (ข) และ (ค) ถูกต้องเท่านั้น,ไม่เจอเลย,22,🔴 คำตอบไม่ปรากฏในเฉลยเลย
alvl1-2567-03-q01,alvl1-2567-03,mc,0,นักเรียนทุกคนสอบผ่าน และนักเรียนทุกคนไม่ได้รับรางวัล,เจอแต่ไม่อยู่ท้าย,28,🟡 อาจเป็นการเอ่ยกลางทาง ⛔ ไม่ใช่ผลสรุป
alvl1-2567-03-q04,alvl1-2567-03,mc,2,$z = \sqrt{3}(\cos\theta + i\sin\theta)$ เมื่อ $\dfrac{\pi}{3} < \theta < \dfrac,ไม่เจอเลย,28,🔴 คำตอบไม่ปรากฏในเฉลยเลย
alvl1-2567-03-q17,alvl1-2567-03,mc,1,มีเพียงข้อความ ก. และ ข. กล่าวถูกต้อง,ไม่เจอเลย,17,🔴 คำตอบไม่ปรากฏในเฉลยเลย
alvl1-2567-03-q19,alvl1-2567-03,mc,4,ข้อความ ก. และ ค. ถูกต้อง,ไม่เจอเลย,19,🔴 คำตอบไม่ปรากฏในเฉลยเลย
alvl1-2567-03-q20,alvl1-2567-03,mc,1,"ไฮเพอร์โบลา มีจุดยอด $(-1, 2)$ และ $(-1, 8)$",ไม่เจอเลย,29,🔴 คำตอบไม่ปรากฏในเฉลยเลย
alvl1-2568-03-v2-q02,alvl1-2568-03-v2,mc,3,$(p \vee r) \wedge (q \vee \sim r)$,เจอแต่ไม่อยู่ท้าย,44,🟡 อาจเป็นการเอ่ยกลางทาง ⛔ ไม่ใช่ผลสรุป
alvl1-2568-03-v2-q03,alvl1-2568-03-v2,mc,3,$p(x)q(x) + x^2$,เจอแต่ไม่อยู่ท้าย,23,🟡 อาจเป็นการเอ่ยกลางทาง ⛔ ไม่ใช่ผลสรุป
alvl1-2568-03-v2-q04,alvl1-2568-03-v2,mc,3,เป็นรูปพาราโบลาคว่ำที่มีจุดยอดที่ $x = 80$,ไม่เจอเลย,32,🔴 คำตอบไม่ปรากฏในเฉลยเลย
alvl1-2568-03-v2-q09,alvl1-2568-03-v2,mc,1,ข้อความ ค. ถูกต้องเพียงข้อเดียวเท่านั้น,ไม่เจอเลย,37,🔴 คำตอบไม่ปรากฏในเฉลยเลย
alvl1-2568-03-v2-q21,alvl1-2568-03-v2,mc,0,$(0.8)^{20}$,เจอแต่ไม่อยู่ท้าย,35,🟡 อาจเป็นการเอ่ยกลางทาง ⛔ ไม่ใช่ผลสรุป
alvl1-2568-03-v2-q22,alvl1-2568-03-v2,mc,4,$0.0668$,เจอแต่ไม่อยู่ท้าย,28,🟡 อาจเป็นการเอ่ยกลางทาง ⛔ ไม่ใช่ผลสรุป
alvl1-2568-03-v2-q23,alvl1-2568-03-v2,mc,1,$5$,เจอแต่ไม่อยู่ท้าย,47,🟡 อาจเป็นการเอ่ยกลางทาง ⛔ ไม่ใช่ผลสรุป
alvl1-2568-03-v2-q24,alvl1-2568-03-v2,mc,0,ข้อความ ก. ถูกต้องเพียงข้อเดียว,ไม่เจอเลย,42,🔴 คำตอบไม่ปรากฏในเฉลยเลย
alvl1-2568-03-v2-q29,alvl1-2568-03-v2,fill,'2',2,เจอแต่ไม่อยู่ท้าย,42,🟡 อาจเป็นการเอ่ยกลางทาง ⛔ ไม่ใช่ผลสรุป
alvl1-2568-03-v2-q30,alvl1-2568-03-v2,fill,'192',192,เจอแต่ไม่อยู่ท้าย,48,🟡 อาจเป็นการเอ่ยกลางทาง ⛔ ไม่ใช่ผลสรุป
alvl1-2569-03-q01,alvl1-2569-03,mc,0,0,เจอแต่ไม่อยู่ท้าย,37,🟡 อาจเป็นการเอ่ยกลางทาง ⛔ ไม่ใช่ผลสรุป
alvl1-2569-03-q02,alvl1-2569-03,mc,2,20,เจอแต่ไม่อยู่ท้าย,41,🟡 อาจเป็นการเอ่ยกลางทาง ⛔ ไม่ใช่ผลสรุป
