id,จำนวนฉบับ,ตรงเฉลย,เปอร์เซ็นต์,ธง
chap-07-trigonometry-q01,1,0,0%,⚠ ฉบับเดียว ไม่ตรงเฉลย
chap-07-trigonometry-q07,1,0,0%,⚠ ฉบับเดียว ไม่ตรงเฉลย
chap-07-trigonometry-q106,1,0,0%,⚠ ฉบับเดียว ไม่ตรงเฉลย
chap-07-trigonometry-q107,1,0,0%,⚠ ฉบับเดียว ไม่ตรงเฉลย
chap-07-trigonometry-q11,1,0,0%,⚠ ฉบับเดียว ไม่ตรงเฉลย
chap-07-trigonometry-q110,1,0,0%,⚠ ฉบับเดียว ไม่ตรงเฉลย
chap-07-trigonometry-q124,1,0,0%,⚠ ฉบับเดียว ไม่ตรงเฉลย
chap-07-trigonometry-q162,1,0,0%,⚠ ฉบับเดียว ไม่ตรงเฉลย
chap-07-trigonometry-q163,1,0,0%,⚠ ฉบับเดียว ไม่ตรงเฉลย
chap-07-trigonometry-q168,1,0,0%,⚠ ฉบับเดียว ไม่ตรงเฉลย
chap-07-trigonometry-q197,1,0,0%,⚠ ฉบับเดียว ไม่ตรงเฉลย
chap-07-trigonometry-q203,1,0,0%,⚠ ฉบับเดียว ไม่ตรงเฉลย
chap-07-trigonometry-q204,1,0,0%,⚠ ฉบับเดียว ไม่ตรงเฉลย
chap-07-trigonometry-q206,1,0,0%,⚠ ฉบับเดียว ไม่ตรงเฉลย
chap-07-trigonometry-q207,1,0,0%,⚠ ฉบับเดียว ไม่ตรงเฉลย
chap-07-trigonometry-q208,1,0,0%,⚠ ฉบับเดียว ไม่ตรงเฉลย
chap-07-trigonometry-q209,1,0,0%,⚠ ฉบับเดียว ไม่ตรงเฉลย
chap-07-trigonometry-q211,1,0,0%,⚠ ฉบับเดียว ไม่ตรงเฉลย
chap-07-trigonometry-q213,1,0,0%,⚠ ฉบับเดียว ไม่ตรงเฉลย
chap-07-trigonometry-q23,1,0,0%,⚠ ฉบับเดียว ไม่ตรงเฉลย
chap-07-trigonometry-q24,1,0,0%,⚠ ฉบับเดียว ไม่ตรงเฉลย
chap-07-trigonometry-q37,1,0,0%,⚠ ฉบับเดียว ไม่ตรงเฉลย
chap-07-trigonometry-q38,1,0,0%,⚠ ฉบับเดียว ไม่ตรงเฉลย
chap-07-trigonometry-q40,1,0,0%,⚠ ฉบับเดียว ไม่ตรงเฉลย
chap-07-trigonometry-q45,1,0,0%,⚠ ฉบับเดียว ไม่ตรงเฉลย
chap-07-trigonometry-q47,1,0,0%,⚠ ฉบับเดียว ไม่ตรงเฉลย
chap-07-trigonometry-q60,1,0,0%,⚠ ฉบับเดียว ไม่ตรงเฉลย
chap-07-trigonometry-q63,1,0,0%,⚠ ฉบับเดียว ไม่ตรงเฉลย
chap-07-trigonometry-q75,1,0,0%,⚠ ฉบับเดียว ไม่ตรงเฉลย
chap-07-trigonometry-q90,1,0,0%,⚠ ฉบับเดียว ไม่ตรงเฉลย
chap-07-trigonometry-q98,1,0,0%,⚠ ฉบับเดียว ไม่ตรงเฉลย
pat1-2554-03-q49,1,0,0%,⚠ ฉบับเดียว ไม่ตรงเฉลย
pat1-2557-04-q13,1,0,0%,⚠ ฉบับเดียว ไม่ตรงเฉลย
pat1-2559-03-q38,1,0,0%,⚠ ฉบับเดียว ไม่ตรงเฉลย
pat1-2563-02-q37,1,0,0%,⚠ ฉบับเดียว ไม่ตรงเฉลย
samn-2555-01-q16,1,0,0%,⚠ ฉบับเดียว ไม่ตรงเฉลย
alvl1-2566-03-q01,15,15,100%,
alvl1-2566-03-q05,15,15,100%,
alvl1-2566-03-q09,16,16,100%,
alvl1-2566-03-q10,16,16,100%,
alvl1-2566-03-q11,16,16,100%,
alvl1-2566-03-q13,15,15,100%,
alvl1-2566-03-q15,16,16,100%,
alvl1-2566-03-q17,16,16,100%,
alvl1-2566-03-q18,10,10,100%,
alvl1-2566-03-q19,15,15,100%,
alvl1-2566-03-q23,2,2,100%,
alvl1-2566-03-q26,15,15,100%,
alvl1-2566-03-q28,16,16,100%,
alvl1-2566-03-q30,16,16,100%,
alvl1-2567-03-q03,15,15,100%,
alvl1-2567-03-q06,16,16,100%,
alvl1-2567-03-q08,16,16,100%,
alvl1-2567-03-q09,16,16,100%,
alvl1-2567-03-q10,16,16,100%,
alvl1-2567-03-q11,15,15,100%,
alvl1-2567-03-q12,16,16,100%,
alvl1-2567-03-q13,16,16,100%,
alvl1-2567-03-q16,16,16,100%,
alvl1-2567-03-q18,16,16,100%,
pat1-2554-12-q17,2,2,100%,
pat1-2554-12-q18,2,2,100%,
pat1-2554-12-q19,2,2,100%,
pat1-2554-12-q20,2,2,100%,
pat1-2554-12-q21,2,2,100%,
pat1-2554-12-q22,2,2,100%,
pat1-2554-12-q24,2,2,100%,
pat1-2554-12-q25,2,2,100%,
pat1-2554-12-q26,2,2,100%,
pat1-2554-12-q27,2,2,100%,
pat1-2554-12-q28,2,2,100%,
pat1-2554-12-q29,2,2,100%,
pat1-2554-12-q30,2,2,100%,
pat1-2554-12-q32,2,2,100%,
pat1-2554-12-q33,2,2,100%,
pat1-2554-12-q34,2,2,100%,
pat1-2554-12-q35,2,2,100%,
pat1-2554-12-q36,2,2,100%,
pat1-2554-12-q38,2,2,100%,
pat1-2554-12-q39,2,2,100%,
pat1-2554-12-q40,2,2,100%,
pat1-2554-12-q42,2,2,100%,
pat1-2554-12-q45,2,2,100%,
pat1-2554-12-q47,2,2,100%,
pat1-2554-12-q48,2,2,100%,
pat1-2554-12-q49,2,2,100%,
pat1-2554-12-q50,2,2,100%,
alvl1-2567-03-q01,15,3,20%,⚠ ต่ำ
alvl1-2567-03-q02,15,3,20%,⚠ ต่ำ
alvl1-2567-03-q20,9,2,22%,⚠ ต่ำ
alvl1-2567-03-q04,6,2,33%,⚠ ต่ำ
alvl1-2566-03-q14,14,8,57%,⚠ ต่ำ
alvl1-2567-03-q17,14,8,57%,⚠ ต่ำ
alvl1-2566-03-q21,13,8,62%,
alvl1-2567-03-q19,13,8,62%,
alvl1-2566-03-q16,12,8,67%,
alvl1-2566-03-q22,15,11,73%,
alvl1-2566-03-q24,11,8,73%,
alvl1-2566-03-q27,16,13,81%,
alvl1-2566-03-q29,16,13,81%,
alvl1-2566-03-q20,13,11,85%,
alvl1-2566-03-q03,15,13,87%,
alvl1-2566-03-q25,15,13,87%,
alvl1-2567-03-q05,15,13,87%,
alvl1-2566-03-q12,16,14,88%,
alvl1-2566-03-q02,13,12,92%,
alvl1-2566-03-q04,13,12,92%,
alvl1-2566-03-q08,13,12,92%,
alvl1-2567-03-q21,15,14,93%,
alvl1-2567-03-q22,15,14,93%,
alvl1-2567-03-q07,16,15,94%,
