id,ระดับ,เรื่อง,รายละเอียด
alvl1-2566-03-q02,เตือน,รูปอยู่ฝั่งเฉลย ⛔ ไม่ใช่ฝั่งโจทย์,เสี่ยงเฉลยรั่วถ้าดึงเฉลยเก่ามาใช้
alvl1-2566-03-q04,ผิด,โจทย์อ้างรูป/ตาราง แต่ hasImage=false,ดังตาราง
alvl1-2566-03-q06,เตือน,รูปอยู่ฝั่งเฉลย ⛔ ไม่ใช่ฝั่งโจทย์,เสี่ยงเฉลยรั่วถ้าดึงเฉลยเก่ามาใช้
alvl1-2566-03-q07,เตือน,รูปอยู่ฝั่งเฉลย ⛔ ไม่ใช่ฝั่งโจทย์,เสี่ยงเฉลยรั่วถ้าดึงเฉลยเก่ามาใช้
alvl1-2566-03-q11,เตือน,รูปอยู่ฝั่งเฉลย ⛔ ไม่ใช่ฝั่งโจทย์,เสี่ยงเฉลยรั่วถ้าดึงเฉลยเก่ามาใช้
alvl1-2566-03-q14,เตือน,รูปอยู่ฝั่งเฉลย ⛔ ไม่ใช่ฝั่งโจทย์,เสี่ยงเฉลยรั่วถ้าดึงเฉลยเก่ามาใช้
alvl1-2566-03-q16,เตือน,รูปอยู่ฝั่งเฉลย ⛔ ไม่ใช่ฝั่งโจทย์,เสี่ยงเฉลยรั่วถ้าดึงเฉลยเก่ามาใช้
alvl1-2566-03-q17,เตือน,รูปอยู่ฝั่งเฉลย ⛔ ไม่ใช่ฝั่งโจทย์,เสี่ยงเฉลยรั่วถ้าดึงเฉลยเก่ามาใช้
alvl1-2566-03-q21,เตือน,รูปอยู่ฝั่งเฉลย ⛔ ไม่ใช่ฝั่งโจทย์,เสี่ยงเฉลยรั่วถ้าดึงเฉลยเก่ามาใช้
alvl1-2566-03-q23,เตือน,รูปอยู่ฝั่งเฉลย ⛔ ไม่ใช่ฝั่งโจทย์,เสี่ยงเฉลยรั่วถ้าดึงเฉลยเก่ามาใช้
alvl1-2566-03-q24,เตือน,รูปอยู่ฝั่งเฉลย ⛔ ไม่ใช่ฝั่งโจทย์,เสี่ยงเฉลยรั่วถ้าดึงเฉลยเก่ามาใช้
alvl1-2566-03-q26,เตือน,รูปอยู่ฝั่งเฉลย ⛔ ไม่ใช่ฝั่งโจทย์,เสี่ยงเฉลยรั่วถ้าดึงเฉลยเก่ามาใช้
alvl1-2566-03-q27,เตือน,รูปอยู่ฝั่งเฉลย ⛔ ไม่ใช่ฝั่งโจทย์,เสี่ยงเฉลยรั่วถ้าดึงเฉลยเก่ามาใช้
alvl1-2566-03-q29,เตือน,รูปอยู่ฝั่งเฉลย ⛔ ไม่ใช่ฝั่งโจทย์,เสี่ยงเฉลยรั่วถ้าดึงเฉลยเก่ามาใช้
